542917,85,hombre,soltero,Carpintero
600976,78,mujer,viudo,Soldador
976608,67,hombre,casado,Obrero
728471,27,mujer,casado,Animador
696151,86,mujer,casado,Matemático
73292,19,hombre,casado,Antropólogo
295823,32,hombre,viudo,Archivólogo
361699,27,hombre,divorciado,Músico
611977,77,hombre,viudo,ing. Comercial
122065,54,hombre,casado,ing. Informatico
812186,44,hombre,divorciado,Carpintero
412371,72,mujer,casado,Barrendero
745799,53,mujer,soltero,Obrero
849841,25,mujer,casado,Animador
359975,39,hombre,viudo,Matemático
978979,23,hombre,divorciado,Antropólogo
667023,64,hombre,viudo,Computista
374187,34,hombre,viudo,Músico
559914,68,hombre,divorciado,ing. Comercial
23463,30,mujer,viudo,ing. Informatico
409027,71,hombre,divorciado,Carpintero
420510,58,mujer,casado,Soldador
601582,80,hombre,casado,Matemático
105307,48,hombre,divorciado,Antropólogo
417602,42,hombre,divorciado,Computista
274167,63,hombre,divorciado,Músico
144600,70,mujer,soltero,ing. Comercial
826008,59,hombre,soltero,ing. Informatico
539728,79,mujer,casado,Barrendero
68357,55,mujer,divorciado,Obrero
866843,68,mujer,soltero,Animador
822330,68,hombre,divorciado,Archivólogo
659492,38,mujer,casado,Músico
984750,46,hombre,viudo,ing. Comercial
631032,61,hombre,casado,ing. Informatico
692604,88,mujer,casado,Carpintero
513230,36,mujer,viudo,Soldador
665068,50,hombre,casado,Barrendero
77229,64,mujer,viudo,Obrero
559411,64,mujer,casado,Matemático
744628,73,hombre,soltero,Antropólogo
13500,20,mujer,casado,Archivólogo
509508,31,mujer,casado,ing. Comercial
409025,88,mujer,viudo,Carpintero
809534,66,hombre,divorciado,Soldador
64763,47,mujer,casado,Obrero
690293,26,mujer,casado,Animador
342043,31,mujer,soltero,Matemático
677167,27,mujer,viudo,Antropólogo
318081,65,mujer,viudo,Músico
953561,46,hombre,casado,ing. Informatico
401605,53,hombre,casado,Carpintero
380509,67,mujer,casado,Soldador
792405,61,hombre,viudo,Barrendero
19677,47,hombre,casado,Obrero
475175,38,hombre,casado,Animador
170820,19,hombre,casado,Matemático
723471,88,hombre,divorciado,Antropólogo
733835,86,mujer,casado,Archivólogo
321049,61,mujer,viudo,Músico
550498,85,mujer,viudo,ing. Comercial
419725,87,mujer,casado,ing. Informatico
114069,88,mujer,casado,Carpintero
584648,23,hombre,casado,Soldador
91020,39,mujer,casado,Barrendero
152664,24,mujer,casado,Obrero
192609,53,hombre,casado,Animador
149120,55,mujer,viudo,Matemático
705841,48,mujer,divorciado,Antropólogo
705510,37,hombre,soltero,Computista
195655,63,hombre,divorciado,Archivólogo
176815,61,mujer,viudo,Músico
248087,81,hombre,casado,ing. Comercial
736263,41,hombre,viudo,ing. Informatico
574332,44,mujer,soltero,Carpintero
689062,71,hombre,viudo,Soldador
796625,30,mujer,divorciado,Barrendero
958351,39,hombre,viudo,Obrero
120942,41,mujer,casado,Animador
923789,52,mujer,casado,Matemático
86175,41,hombre,casado,Antropólogo
98221,52,hombre,soltero,Computista
157573,26,hombre,viudo,Archivólogo
875593,55,hombre,viudo,Músico
468437,21,mujer,soltero,ing. Comercial
249445,35,mujer,casado,ing. Informatico
957742,64,hombre,divorciado,Carpintero
984106,58,hombre,soltero,Soldador
93995,80,hombre,casado,Barrendero
242673,75,hombre,soltero,Obrero
965113,29,mujer,casado,Animador
196670,46,hombre,casado,Matemático
939768,20,mujer,viudo,Antropólogo
424206,69,hombre,divorciado,Archivólogo
971895,57,mujer,casado,Músico
648630,31,mujer,casado,ing. Informatico
378537,75,hombre,divorciado,Carpintero
288073,76,mujer,soltero,Barrendero
626496,52,mujer,casado,Obrero
884313,67,mujer,casado,Animador
569543,86,hombre,casado,Matemático
20547,86,hombre,casado,Antropólogo
565429,62,mujer,viudo,Computista
867726,83,mujer,soltero,Archivólogo
225460,66,mujer,casado,Músico
737942,46,mujer,casado,ing. Comercial
313204,28,mujer,viudo,ing. Informatico
241156,21,mujer,viudo,Carpintero
598309,25,hombre,casado,Soldador
878035,53,hombre,divorciado,Barrendero
739880,64,hombre,divorciado,Animador
970022,26,hombre,viudo,Antropólogo
165884,58,mujer,casado,Computista
674407,80,mujer,viudo,Archivólogo
768542,61,hombre,divorciado,Músico
291187,40,mujer,viudo,ing. Comercial
899124,56,mujer,viudo,Soldador
896220,79,mujer,casado,Barrendero
297478,43,mujer,soltero,Obrero
292739,53,hombre,divorciado,Animador
950559,50,hombre,divorciado,Matemático
866310,89,hombre,casado,Antropólogo
769618,32,hombre,divorciado,Computista
339689,78,mujer,casado,Archivólogo
46637,79,hombre,casado,Músico
899489,44,mujer,casado,ing. Comercial
437680,89,hombre,viudo,ing. Informatico
692645,59,mujer,soltero,Carpintero
415514,50,hombre,divorciado,Soldador
401272,60,hombre,casado,Obrero
782094,82,mujer,soltero,Animador
378374,36,mujer,casado,Matemático
811170,62,mujer,viudo,Antropólogo
230053,60,mujer,casado,Computista
943217,79,mujer,casado,Archivólogo
785872,46,hombre,viudo,Músico
858466,79,mujer,viudo,ing. Comercial
780958,47,mujer,casado,Carpintero
509187,65,mujer,viudo,Barrendero
980325,59,mujer,soltero,Obrero
328285,19,hombre,divorciado,Matemático
819463,36,mujer,casado,Antropólogo
699450,42,hombre,casado,Computista
