1,09/11/2020,16:33:14,17:33:14
2,2020-11-27,15:17:56,17:17:56
3,2020-11-07,12:48:04,"14:48:4 "
4,NULL,NULL,NULL
5,NULL,NULL,NULL
6,2020-12-13,10:47:15,13:47:15
7,2020-11-09,10:27:49,12:27:49
8,2020-11-18,09:43:31,11:43:31
9,2020-11-25,12:33:16,15:33:16
10,2020-11-03,08:47:48,11:47:48
11,2020-12-05,17:15:15,19:15:15
12,2020-11-11,15:16:04,"17:16:4 "
13,03/12/2020,10:31:12,11:31:12
14,2020-11-14,13:41:18,15:41:18
15,2020-11-13,13:58:10,15:58:10
16,2020-11-29,09:43:33,11:43:33
17,2020-12-15,15:44:33,17:44:33
18,2020-11-07,14:32:10,16:32:10
19,2020-11-19,11:59:58,13:59:58
20,2020-12-09,08:57:36,10:57:36
21,17/11/2020,09:43:46,10:43:46
22,2020-11-04,12:46:11,14:46:11
23,2020-11-22,10:53:04,"12:53:4 "
24,NULL,NULL,NULL
25,2020-12-03,10:31:28,13:31:28
26,NULL,NULL,NULL
27,2020-11-07,09:25:33,11:25:33
28,2020-11-27,11:49:59,13:49:59
29,NULL,NULL,NULL
30,NULL,NULL,NULL
31,2020-12-02,13:53:17,15:53:17
32,NULL,NULL,NULL
33,NULL,NULL,NULL
34,2020-12-07,11:15:03,"13:15:3 "
35,2020-11-15,14:23:09,"17:23:9 "
36,NULL,NULL,NULL
37,2020-11-13,16:15:06,"19:15:6 "
38,2020-12-14,08:23:52,10:23:52
39,06/12/2020,13:17:13,14:17:13
40,2020-11-30,10:48:43,12:48:43
41,2020-11-02,13:51:19,15:51:19
42,NULL,NULL,NULL
43,NULL,NULL,NULL
44,2020-11-24,08:44:47,10:44:47
45,2020-11-19,13:42:23,15:42:23
46,NULL,NULL,NULL
47,2020-11-18,16:59:46,18:59:46
48,2020-11-25,17:34:10,20:34:10
49,NULL,NULL,NULL
50,16/11/2020,09:19:34,10:19:34
51,2020-11-29,10:30:41,12:30:41
52,2020-11-24,08:32:09,"10:32:9 "
53,NULL,NULL,NULL
54,2020-11-08,10:46:53,12:46:53
55,2020-11-21,15:10:57,17:10:57
56,NULL,NULL,NULL
57,2020-11-15,08:28:55,10:28:55
58,13/12/2020,13:51:35,14:51:35
59,2020-12-04,11:53:20,13:53:20
60,2020-12-12,13:30:24,15:30:24
61,NULL,NULL,NULL
62,10/12/2020,13:53:22,14:53:22
63,2020-12-08,16:52:26,18:52:26
64,02/11/2020,12:41:55,13:41:55
65,2020-11-29,15:12:29,17:12:29
66,14/11/2020,14:06:08,"15:6 :8 "
67,29/11/2020,10:35:47,11:35:47
68,2020-11-02,09:13:24,11:13:24
69,2020-12-06,10:42:26,12:42:26
70,2020-11-05,10:57:15,12:57:15
71,2020-11-09,10:19:07,"12:19:7 "
72,2020-12-09,17:17:15,19:17:15
73,2020-11-06,08:09:48,10:9 :48
74,2020-11-20,13:14:45,15:14:45
75,2020-12-05,13:15:54,15:15:54
76,28/11/2020,12:35:37,13:35:37
77,NULL,NULL,NULL
78,2020-11-26,13:06:11,15:6 :11
79,2020-12-09,17:20:23,19:20:23
80,NULL,NULL,NULL
81,NULL,NULL,NULL
82,2020-11-16,14:04:40,16:4 :40
83,04/11/2020,08:44:08,"9 :44:8 "
84,2020-12-05,14:52:18,16:52:18
85,30/11/2020,09:10:42,10:10:42
86,2020-11-11,09:58:52,11:58:52
87,27/11/2020,14:09:07,"15:9 :7 "
88,2020-12-15,08:42:57,10:42:57
89,12/11/2020,09:22:36,10:22:36
90,06/12/2020,10:39:53,11:39:53
91,2020-11-05,08:26:05,"10:26:5 "
92,11/11/2020,17:08:21,18:8 :21
93,NULL,NULL,NULL
94,2020-11-28,12:20:32,15:20:32
95,NULL,NULL,NULL
96,2020-11-08,13:58:49,15:58:49
97,2020-12-16,10:00:16,12:0 :16
98,23/11/2020,13:23:55,14:23:55
99,05/11/2020,11:46:41,12:46:41
100,NULL,NULL,NULL
101,08/11/2020,16:38:14,17:38:14
102,NULL,NULL,NULL
103,NULL,NULL,NULL
104,13/11/2020,11:38:27,12:38:27
105,2020-12-11,14:41:59,16:41:59
106,2020-11-03,09:44:20,11:44:20
107,2020-11-19,10:54:20,13:54:20
108,19/11/2020,11:21:59,12:21:59
109,2020-11-09,14:35:05,"16:35:5 "
110,NULL,NULL,NULL
111,2020-12-16,09:19:31,11:19:31
112,30/11/2020,08:07:54,9 :7 :54
113,NULL,NULL,NULL
114,2020-11-13,10:46:35,12:46:35
115,2020-11-05,10:50:30,12:50:30
116,2020-11-18,14:55:05,"16:55:5 "
117,04/11/2020,12:19:31,13:19:31
118,NULL,NULL,NULL
119,07/11/2020,16:04:11,17:4 :11
120,NULL,NULL,NULL
121,2020-11-16,12:01:28,14:1 :28
122,2020-11-12,10:29:05,"12:29:5 "
123,2020-12-04,10:06:43,12:6 :43
124,2020-11-05,16:39:08,"18:39:8 "
125,NULL,NULL,NULL
126,NULL,NULL,NULL
127,2020-12-16,14:31:56,16:31:56
128,NULL,NULL,NULL
129,NULL,NULL,NULL
130,2020-11-14,17:48:35,19:48:35
131,NULL,NULL,NULL
132,2020-11-06,16:37:06,"18:37:6 "
133,NULL,NULL,NULL
134,NULL,NULL,NULL
135,NULL,NULL,NULL
136,2020-12-05,17:28:25,20:28:25
137,03/12/2020,09:17:44,10:17:44
138,2020-11-19,12:18:06,"14:18:6 "
139,2020-12-07,14:34:25,16:34:25
140,2020-12-01,17:29:23,20:29:23
141,2020-11-15,15:49:11,17:49:11
142,NULL,NULL,NULL
143,2020-11-08,16:08:31,19:8 :31
144,NULL,NULL,NULL
145,2020-11-02,14:26:10,16:26:10
146,2020-11-14,15:33:16,17:33:16
147,28/11/2020,15:55:07,"16:55:7 "
148,12/12/2020,12:56:50,13:56:50
149,11/11/2020,08:06:33,9 :6 :33
150,2020-11-18,09:09:43,11:9 :43
151,2020-12-10,14:05:50,16:5 :50
152,2020-12-10,13:12:09,"15:12:9 "
153,14/11/2020,12:33:19,13:33:19
154,2020-11-06,12:52:58,14:52:58
155,2020-11-09,17:40:05,"19:40:5 "
156,06/12/2020,09:12:13,10:12:13
157,2020-12-01,12:09:23,14:9 :23
158,2020-12-09,11:11:47,13:11:47
159,2020-12-14,17:06:38,19:6 :38
160,2020-11-05,13:00:09,"15:0 :9 "
161,2020-12-07,16:04:52,18:4 :52
162,NULL,NULL,NULL
163,2020-11-25,09:21:09,"11:21:9 "
164,14/11/2020,08:23:11,9 :23:11
165,2020-12-13,14:40:44,16:40:44
166,2020-12-15,14:08:30,16:8 :30
167,11/12/2020,11:59:19,12:59:19
168,2020-12-14,12:31:44,15:31:44
169,2020-11-08,11:14:59,13:14:59
170,NULL,NULL,NULL
171,NULL,NULL,NULL
172,NULL,NULL,NULL
173,2020-11-10,16:02:55,18:2 :55
174,2020-12-10,14:14:28,16:14:28
175,2020-11-06,13:38:44,15:38:44
176,2020-11-04,16:59:48,18:59:48
177,30/11/2020,11:37:15,12:37:15
178,2020-11-07,11:33:44,13:33:44
179,2020-12-12,08:36:05,"10:36:5 "
180,2020-12-13,15:53:37,17:53:37
181,NULL,NULL,NULL
182,26/11/2020,08:20:14,9 :20:14
183,2020-12-05,09:45:15,11:45:15
184,2020-11-20,11:41:58,13:41:58
185,NULL,NULL,NULL
186,2020-11-06,11:08:20,13:8 :20
187,13/11/2020,12:32:53,13:32:53
188,2020-11-20,09:06:06,"11:6 :6 "
189,NULL,NULL,NULL
190,2020-11-16,15:55:08,"17:55:8 "
191,NULL,NULL,NULL
192,NULL,NULL,NULL
193,2020-11-20,09:28:28,11:28:28
194,2020-11-10,09:21:04,"11:21:4 "
195,29/11/2020,13:36:05,"14:36:5 "
196,2020-11-28,17:07:18,19:7 :18
197,2020-11-26,15:48:53,17:48:53
198,2020-12-13,15:16:46,17:16:46
199,2020-12-15,12:08:23,15:8 :23
200,2020-11-15,10:53:34,12:53:34
201,NULL,NULL,NULL
202,2020-12-04,09:20:38,11:20:38
203,2020-12-11,13:05:23,15:5 :23
204,2020-12-07,11:57:08,"13:57:8 "
205,2020-11-07,11:15:05,"13:15:5 "
206,2020-12-06,12:39:31,15:39:31
207,2020-11-25,11:56:03,"14:56:3 "
208,2020-11-18,12:39:48,14:39:48
209,08/11/2020,16:54:26,17:54:26
210,2020-12-08,14:18:20,16:18:20
211,2020-12-08,09:38:06,"11:38:6 "
212,2020-12-11,15:03:48,17:3 :48
213,2020-11-15,11:12:16,14:12:16
214,19/11/2020,10:32:32,11:32:32
215,2020-11-25,13:26:13,16:26:13
216,2020-11-21,14:57:53,16:57:53
217,2020-11-20,12:56:45,14:56:45
218,2020-11-25,17:15:10,19:15:10
219,2020-11-02,11:48:27,13:48:27
220,2020-11-29,12:09:33,14:9 :33
221,2020-12-14,13:14:14,15:14:14
222,2020-12-15,16:19:56,19:19:56
223,2020-11-09,15:02:46,17:2 :46
224,2020-11-28,15:22:17,17:22:17
225,2020-12-10,15:53:39,17:53:39
226,15/12/2020,15:23:12,16:23:12
227,2020-11-02,08:15:37,10:15:37
228,2020-12-16,12:04:44,15:4 :44
229,NULL,NULL,NULL
230,2020-12-15,13:26:55,16:26:55
231,2020-11-20,08:17:46,10:17:46
232,NULL,NULL,NULL
233,2020-11-12,11:02:18,13:2 :18
234,2020-12-14,13:24:17,15:24:17
235,29/11/2020,11:05:16,12:5 :16
236,2020-11-27,15:54:08,"17:54:8 "
237,2020-12-14,13:35:09,"15:35:9 "
238,NULL,NULL,NULL
239,2020-12-09,12:28:01,"14:28:1 "
240,2020-11-03,10:09:04,"12:9 :4 "
241,2020-11-09,09:46:31,12:46:31
242,2020-11-24,15:58:08,"17:58:8 "
243,2020-12-15,10:18:25,12:18:25
244,2020-12-12,16:18:55,19:18:55
245,2020-11-25,17:29:27,19:29:27
246,2020-12-07,14:21:03,"16:21:3 "
247,2020-11-22,15:31:14,17:31:14
248,2020-12-03,11:54:07,"13:54:7 "
249,2020-11-25,17:45:22,20:45:22
250,2020-12-07,13:56:15,15:56:15
251,01/11/2020,11:03:13,12:3 :13
252,2020-11-13,15:52:29,18:52:29
253,2020-11-30,15:38:17,17:38:17
254,NULL,NULL,NULL
255,2020-12-11,10:39:03,"13:39:3 "
256,2020-11-16,08:20:09,"10:20:9 "
257,2020-11-03,08:18:15,10:18:15
258,2020-11-20,14:17:44,16:17:44
259,2020-11-24,09:45:00,"11:45:0 "
260,12/11/2020,14:54:46,15:54:46
261,2020-11-21,12:05:24,15:5 :24
262,25/11/2020,15:48:54,16:48:54
263,NULL,NULL,NULL
264,2020-12-15,09:43:42,11:43:42
265,2020-11-15,13:36:21,15:36:21
266,2020-11-26,15:01:11,17:1 :11
267,NULL,NULL,NULL
268,2020-11-07,09:55:47,11:55:47
269,2020-11-24,09:16:10,12:16:10
270,2020-12-13,10:28:13,12:28:13
271,2020-12-16,17:03:44,19:3 :44
272,26/11/2020,09:17:49,10:17:49
273,2020-12-03,08:21:51,10:21:51
274,2020-11-16,14:41:04,"16:41:4 "
275,2020-11-07,09:35:17,11:35:17
276,2020-12-01,12:34:57,14:34:57
277,NULL,NULL,NULL
278,2020-11-05,09:51:22,11:51:22
279,NULL,NULL,NULL
280,10/11/2020,11:03:52,12:3 :52
281,NULL,NULL,NULL
282,26/11/2020,08:46:01,"9 :46:1 "
283,2020-12-15,10:39:17,12:39:17
284,2020-12-05,13:53:33,16:53:33
285,2020-11-05,09:19:49,11:19:49
286,2020-11-17,11:25:00,"13:25:0 "
287,2020-11-30,15:39:17,18:39:17
288,2020-12-14,12:10:11,14:10:11
289,24/11/2020,10:54:55,11:54:55
290,05/11/2020,13:55:26,14:55:26
291,2020-12-09,14:01:18,16:1 :18
292,03/11/2020,17:44:56,18:44:56
293,2020-12-15,17:20:28,19:20:28
294,19/11/2020,11:12:27,12:12:27
295,2020-11-12,09:07:38,11:7 :38
296,2020-12-10,10:57:36,12:57:36
297,2020-12-05,13:05:19,15:5 :19
298,16/11/2020,16:54:09,"17:54:9 "
299,2020-11-11,09:04:46,12:4 :46
300,2020-11-22,08:14:20,10:14:20
301,2020-11-14,13:58:58,15:58:58
302,NULL,NULL,NULL
303,2020-11-19,11:16:12,13:16:12
304,2020-11-09,16:39:56,18:39:56
305,2020-11-24,12:01:01,"15:1 :1 "
306,2020-12-09,09:21:59,12:21:59
307,2020-12-04,16:03:56,18:3 :56
308,2020-11-29,16:12:43,18:12:43
309,2020-11-24,10:21:09,"12:21:9 "
310,2020-11-21,10:02:22,12:2 :22
311,2020-11-18,09:56:30,11:56:30
312,16/11/2020,14:06:30,15:6 :30
313,2020-11-21,10:34:03,"12:34:3 "
314,2020-11-22,16:30:47,18:30:47
